Table 5,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,
"by State, 2012",, ,,,,,,,,,,,
State,Area,,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",
,,Estimated total,100.0%,"1,369",18,160,60,"1,131","12,358","4,197","7,226",935,
,State Total,,"2,949,131","13,835",173,"1,247","2,320","10,095","107,941","31,890","70,327","5,724",
,,"Rate per 100,000 inhabitants",,469.1,5.9,42.3,78.7,342.3,"3,660.1","1,081.3","2,384.7",194.1,
CALIFORNIA,Metropolitan Statistical Area,,"37,191,572",,,,,,,,,,
,,Area actually reporting,99.9%,"157,689","1,852","7,562","56,074","92,201","1,028,710","239,283","622,803","166,624",
,,Estimated total,100.0%,"157,749","1,852","7,565","56,094","92,238","1,029,164","239,392","623,083","166,689",
,Cities outside metropolitan areas,,"277,160",,,,,,,,,,
,,Area actually reporting,100.0%,"1,573",9,118,268,"1,178","10,573","2,727","7,078",768,
,Nonmetropolitan counties,,"572,698",,,,,,,,,,
,,Area actually reporting,100.0%,"1,622",23,154,159,"1,286","9,728","3,648","4,929","1,151",
,State Total,,"38,041,430","160,944","1,884","7,837","56,521","94,702","1,049,465","245,767","635,090","168,608",
,,"Rate per 100,000 inhabitants",,423.1,5.0,20.6,148.6,248.9,"2,758.7",646.1,"1,669.5",443.2,
COLORADO,Metropolitan Statistical Area,,"4,492,292",,,,, ,,,,,
,,Area actually reporting,99.2%,"14,734",145,"1,936","3,297","9,356","126,058","23,715","90,810","11,533",
,,Estimated total,100.0%,"14,813",145,"1,948","3,309","9,411","127,022","23,859","91,563","11,600",
,Cities outside metropolitan areas,,"329,576",,,,,,,,,,
,,Area actually reporting,91.4%,723,7,104,72,540,"8,366","1,278","6,801",287,
,,Estimated total,100.0%,792,8,114,79,591,"9,152","1,398","7,440",314,
,Nonmetropolitan counties,,"365,714",,,,,,,,,,
,,Area actually reporting,88.7%,370,8,45,6,311,"2,745",798,"1,789",158,
,,Estimated total,100.0%,418,9,51,7,351,"3,096",900,"2,018",178,
,State Total,,"5,187,582","16,023",162,"2,113","3,395","10,353","139,270","26,157","101,021","12,092",
,,"Rate per 100,000 inhabitants",,308.9,3.1,40.7,65.4,199.6,"2,684.7",504.2,"1,947.4",233.1,
CONNECTICUT,Metropolitan Statistical Area,,"2,933,569",,,,,,,,,,
,,Area actually reporting,100.0%,"9,680",108,828,"3,609","5,135","69,896","13,021","50,840","6,035",
,Cities outside metropolitan areas,,"118,014",,,,,,,,,,
,,Area actually reporting,100.0%,124,2,37,19,66,"2,326",378,"1,848",100,
,Nonmetropolitan counties,,"538,764",,,,,,,,,,
,,Area actually reporting,100.0%,356,36,54,59,207,"4,612","1,312","2,986",314,
,State Total,,"3,590,347","10,160",146,919,"3,687","5,408","76,834","14,711","55,674","6,449",
,,"Rate per 100,000 inhabitants",,283.0,4.1,25.6,102.7,150.6,"2,140.0",409.7,"1,550.7",179.6,
DELAWARE,Metropolitan Statistical Area,,"917,092",,,,,,,,,,
,,Area actually reporting,100.0%,"5,020",57,243,"1,492","3,228","30,639","7,371","21,832","1,436",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,, ,,,,,,,
,State Total,,"917,092","5,020",57,243,"1,492","3,228","30,639","7,371","21,832","1,436",
,,"Rate per 100,000 inhabitants",,547.4,6.2,26.5,162.7,352.0,"3,340.9",803.7,"2,380.6",156.6,
DISTRICT OF COLUMBIA1,Metropolitan Statistical Area,,"632,323",,,,,,,,,,
,,Area actually reporting,100.0%,"7,864",88,236,"4,036","3,504","30,736","3,519","23,556","3,661",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,Total,,"632,323","7,864",88,236,"4,036","3,504","30,736","3,519","23,556","3,661",
,,"Rate per 100,000 inhabitants",,"1,243.7",13.9,37.3,638.3,554.1,"4,860.8",556.5,"3,725.3",579.0,
FLORIDA,Metropolitan Statistical Area,,"18,601,449", ,,,,, ,,,,
,,Area actually reporting,99.9%,"90,584",986,"5,012","23,480","61,106","613,039","146,949","429,515","36,575",
,,Estimated total,100.0%,"90,694",986,"5,017","23,513","61,178","613,951","147,151","430,173","36,627",
,Cities outside metropolitan areas,,"146,081",,,,,,,,,,
,,Area actually reporting,98.5%,"1,066",7,60,189,810,"6,429","1,710","4,514",205,
,,Estimated total,100.0%,"1,082",7,61,192,822,"6,526","1,736","4,582",208,
,Nonmetropolitan counties,,"570,038",,,,,,,,,,
,,Area actually reporting,100.0%,"2,311",16,182,184,"1,929","12,511","4,676","7,340",495,
,State Total,,"19,317,568","94,087","1,009","5,260","23,889","63,929","632,988","153,563","442,095","37,330",
,,"Rate per 100,000 inhabitants",,487.1,5.2,27.2,123.7,330.9,"3,276.7",794.9,"2,288.6",193.2,
GEORGIA,Metropolitan Statistical Area,,"8,122,687",,,,,,,,,,
,,Area actually reporting,99.5%,"31,515",492,"1,712","11,396","17,915","281,144","71,871","182,887","26,386",
,,Estimated total,100.0%,"31,675",492,"1,721","11,453","18,009","282,825","72,230","184,075","26,520",
,Cities outside metropolitan areas,,"663,946",,,,,,,,,,
,,Area actually reporting,92.6%,"3,180",37,215,750,"2,178","29,697","7,137","21,745",815,
,,Estimated total,100.0%,"3,434",40,232,810,"2,352","32,074","7,708","23,486",880,
,Nonmetropolitan counties,,"1,133,312",,,,,,,,,,
,,Area actually reporting,96.2%,"2,388",47,165,192,"1,984","22,544","6,592","14,859","1,093",
,,Estimated total,100.0%,"2,482",49,171,200,"2,062","23,430","6,851","15,443","1,136",
,State Total,,"9,919,945","37,591",581,"2,124","12,463","22,423","338,329","86,789","223,004","28,536",
,,"Rate per 100,000 inhabitants",,378.9,5.9,21.4,125.6,226.0,"3,410.6",874.9,"2,248.0",287.7,
HAWAII,Metropolitan Statistical Area,,"1,134,635",,,,,,,,,,
,,Area actually reporting,100.0%,"2,675",25,204,939,"1,507","34,679","6,039","25,607","3,033",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,"257,678",,,,,,,,,,
,,Area actually reporting,100.0%,655,4,81,101,469,"8,138","1,940","5,626",572,
,State Total, ,"1,392,313","3,330",29,285,"1,040","1,976","42,817","7,979","31,233","3,605",
,,"Rate per 100,000 inhabitants",,239.2,2.1,20.5,74.7,141.9,"3,075.2",573.1,"2,243.2",258.9,
IDAHO,Metropolitan Statistical Area,,"1,046,821",,,,,, ,,,,
,,Area actually reporting,99.9%,"2,241",11,319,189,"1,722","23,187","4,920","17,332",935,
,,Estimated total,100.0%,"2,242",11,319,189,"1,723","23,198","4,922","17,341",935,
,Cities outside metropolitan areas,,"249,143",,,,,,,,,,
,,Area actually reporting,100.0%,679,6,94,47,532,"5,316","1,191","3,905",220,
,Nonmetropolitan counties, ,"299,764",,,,,,, ,,,
,,Area actually reporting,100.0%,397,12,66,7,312,"3,137","1,073","1,855",209,
,State Total,,"1,595,728","3,318",29,479,243,"2,567","31,651","7,186","23,101","1,364",
,,"Rate per 100,000 inhabitants",,207.9,1.8,30.0,15.2,160.9,"1,983.5",450.3,"1,447.7",85.5,
ILLINOIS,Metropolitan Statistical Area,,"11,351,574",,,,,,,,,,
,,Area actually reporting,96.7%,"49,174",718,"3,047","19,031","26,378","296,052","62,951","208,470","24,631",
,,Estimated total,100.0%,"49,982",726,"3,139","19,245","26,872","303,879","64,538","214,378","24,963",
,Cities outside metropolitan areas,,"833,251",,,,,,,,,,
,,Area actually reporting,87.8%,"2,323",10,290,182,"1,841","18,413","3,761","14,233",419,
,,Estimated total,100.0%,"2,644",11,330,207,"2,096","20,960","4,281","16,202",477,
,Nonmetropolitan counties,,"690,430",,,,,,,,,,
,,Area actually reporting,94.3%,733,7,95,18,613,"6,768","2,153","4,379",236,
,,Estimated total,100.0%,777,7,101,19,650,"7,174","2,282","4,642",250,
,State Total,,"12,875,255","53,403",744,"3,570","19,471","29,618","332,013","71,101","235,222","25,690",
,,"Rate per 100,000 inhabitants",,414.8,5.8,27.7,151.2,230.0,"2,578.7",552.2,"1,826.9",199.5,
INDIANA,Metropolitan Statistical Area,,"5,054,644",,,,,,,,,,
,,Area actually reporting,89.5%,"19,898",267,"1,322","6,228","12,081","158,421","38,510","108,199","11,712",
,,Estimated total,100.0%,"20,537",275,"1,396","6,323","12,543","167,343","40,612","114,459","12,272",
,Cities outside metropolitan areas, ,"524,374",,,,,,,,,,
,,Area actually reporting,86.2%,"1,015",10,140,184,681,"17,092","3,082","13,224",786,
,,Estimated total,100.0%,"1,177",12,162,213,790,"19,832","3,576","15,344",912,
,Nonmetropolitan counties,,"958,316",,,,,,,,,,
,,Area actually reporting,78.6%,699,18,86,49,546,"8,538","2,693","5,470",375,
,,Estimated total,100.0%,888,23,109,62,694,"10,857","3,424","6,956",477,
,State Total,,"6,537,334","22,602",310,"1,667","6,598","14,027","198,032","47,612","136,759","13,661",
,,"Rate per 100,000 inhabitants",,345.7,4.7,25.5,100.9,214.6,"3,029.2",728.3,"2,092.0",209.0,
IOWA,Metropolitan Statistical Area,,"1,773,013", ,,,,,,,,,
,,Area actually reporting,98.4%,"5,356",31,625,829,"3,871","48,220","11,157","34,135","2,928",
,,Estimated total,100.0%,"5,394",31,631,830,"3,902","48,560","11,259","34,349","2,952",
,Cities outside metropolitan areas,,"604,442",,,,,,,,,,
,,Area actually reporting,89.7%,"1,799",11,167,110,"1,511","14,660","3,600","10,434",626,
,,Estimated total,100.0%,"2,005",12,186,123,"1,684","16,339","4,012","11,629",698,
,Nonmetropolitan counties,,"696,731",,,,,,,,,,
,,Area actually reporting,86.0%,613,2,46,8,557,"4,249","1,570","2,358",321,
,,Estimated total,100.0%,713,2,54,9,648,"4,940","1,825","2,742",373,
,State Total,,"3,074,186","8,112",45,871,962,"6,234","69,839","17,096","48,720","4,023",
,,"Rate per 100,000 inhabitants",,263.9,1.5,28.3,31.3,202.8,"2,271.8",556.1,"1,584.8",130.9,
KANSAS,Metropolitan Statistical Area,,"1,923,596", ,,,,,,,,,
,,Area actually reporting,99.2%,"7,207",67,689,"1,297","5,154","63,939","12,207","46,230","5,502",
,,Estimated total,100.0%,"7,239",67,693,"1,301","5,178","64,300","12,269","46,505","5,526",
,Cities outside metropolitan areas,,"620,655",,,,,,,,,,
,,Area actually reporting,96.1%,"2,233",9,277,178,"1,769","20,552","4,470","15,223",859,
,,Estimated total,100.0%,"2,323",9,288,185,"1,841","21,384","4,651","15,839",894,
,Nonmetropolitan counties,,"341,654",,,,,,,,,,
,,Area actually reporting,97.6%,654,8,70,14,562,"4,904","1,802","2,753",349,
,,Estimated total,100.0%,670,8,72,14,576,"5,026","1,847","2,821",358,
,State Total,,"2,885,905","10,232",84,"1,053","1,500","7,595","90,710","18,767","65,165","6,778",
,,"Rate per 100,000 inhabitants",,354.6,2.9,36.5,52.0,263.2,"3,143.2",650.3,"2,258.0",234.9,
KENTUCKY,Metropolitan Statistical Area,,"2,530,495", ,,,,, ,,,,
,,Area actually reporting,99.6%,"7,289",101,656,"2,925","3,607","79,535","18,970","55,714","4,851",
,,Estimated total,100.0%,"7,313",101,660,"2,937","3,615","79,876","19,048","55,961","4,867",
,Cities outside metropolitan areas,,"530,844",,,,,,,,,,
,,Area actually reporting,95.7%,936,17,146,363,410,"16,643","3,617","12,404",622,
,,Estimated total,100.0%,979,18,153,379,429,"17,398","3,781","12,967",650,
,Nonmetropolitan counties,,"1,319,076",,,,,,,,,,
,,Area actually reporting,97.4%,"1,422",74,447,213,688,"14,173","6,582","6,470","1,121",
,,Estimated total,100.0%,"1,460",76,459,219,706,"14,552","6,758","6,643","1,151",
,State Total,,"4,380,415","9,752",195,"1,272","3,535","4,750","111,826","29,587","75,571","6,668",
,,"Rate per 100,000 inhabitants",,222.6,4.5,29.0,80.7,108.4,"2,552.9",675.4,"1,725.2",152.2,
LOUISIANA,Metropolitan Statistical Area,,"3,823,577", ,,,,, ,,,,
,,Area actually reporting,96.6%,"18,739",450,908,"4,972","12,409","136,314","35,438","93,929","6,947",
,,Estimated total,100.0%,"19,200",456,934,"5,059","12,751","140,631","36,395","97,127","7,109",
,Cities outside metropolitan areas,,"279,709",,,,,,,,,,
,,Area actually reporting,77.4%,"1,744",17,75,251,"1,401","10,168","2,717","7,222",229,
,,Estimated total,100.0%,"2,254",22,97,324,"1,811","13,140","3,511","9,333",296,
,Nonmetropolitan counties,,"498,607",,,,,,,,,,
,,Area actually reporting,88.5%,"1,250",15,112,81,"1,042","8,110","1,977","5,712",421,
,,Estimated total,100.0%,"1,414",17,127,92,"1,178","9,165","2,234","6,455",476,
,State Total,,"4,601,893","22,868",495,"1,158","5,475","15,740","162,936","42,140","112,915","7,881",
,,"Rate per 100,000 inhabitants",,496.9,10.8,25.2,119.0,342.0,"3,540.6",915.7,"2,453.7",171.3,
MAINE,Metropolitan Statistical Area,,"777,579",,,,,,,,,,
,,Area actually reporting,100.0%,982,15,200,324,443,"20,607","4,179","15,819",609,
,Cities outside metropolitan areas,,"272,036",,,,,,,,,,
,,Area actually reporting,100.0%,402,4,114,75,209,"8,280","1,683","6,382",215,
,Nonmetropolitan counties,,"279,577",,,,,,,,,,
,,Area actually reporting,100.0%,247,6,58,24,159,"4,474","1,599","2,704",171,
,State Total,,"1,329,192","1,631",25,372,423,811,"33,361","7,461","24,905",995,
,,"Rate per 100,000 inhabitants",,122.7,1.9,28.0,31.8,61.0,"2,509.9",561.3,"1,873.7",74.9,
MARYLAND,Metropolitan Statistical Area,,"5,729,173",,,,,,,,,,
,,Area actually reporting,100.0%,"27,531",364,"1,188","10,040","15,939","158,189","32,580","110,726","14,883",
,Cities outside metropolitan areas,,"52,943",,,,,,,,,,
,,Area actually reporting,100.0%,321,2,31,74,214,"1,934",438,"1,442",54,
,Nonmetropolitan counties,,"102,447",,,,,,,,,,
,,Area actually reporting,100.0%,203,3,16,27,157,"1,908",714,"1,106",88,
,State Total,,"5,884,563","28,055",369,"1,235","10,141","16,310","162,031","33,732","113,274","15,025",
,,"Rate per 100,000 inhabitants",,476.8,6.3,21.0,172.3,277.2,"2,753.5",573.2,"1,924.9",255.3,
MASSACHUSETTS,Metropolitan Statistical Area,,"6,546,761",,,,,,,,,,
,,Area actually reporting,98.0%,"26,233",120,"1,590","6,432","18,091","138,322","33,264","96,045","9,013",
,,Estimated total,100.0%,"26,648",120,"1,620","6,516","18,392","140,839","33,874","97,803","9,162",
,Cities outside metropolitan areas,,"91,869",,,,,,,,,,
,,Area actually reporting,87.2%,245,1,19,31,194,"1,963",581,"1,321",61,
,,Estimated total,100.0%,281,1,22,36,222,"2,250",666,"1,514",70,
,Nonmetropolitan counties,,"7,514",,,,,,,,,,
,,Area actually reporting,100.0%,24,0,0,0,24,0,0,0,0,
,State Total,,"6,646,144","26,953",121,"1,642","6,552","18,638","143,089","34,540","99,317","9,232",
,,"Rate per 100,000 inhabitants",,405.5,1.8,24.7,98.6,280.4,"2,153.0",519.7,"1,494.4",138.9,
MICHIGAN,Metropolitan Statistical Area,,"8,069,120",,,,,,,,,,
,,Area actually reporting,98.7%,"40,674",659,"3,365","10,225","26,425","212,949","57,129","132,041","23,779",
,,Estimated total,100.0%,"40,963",660,"3,398","10,292","26,613","215,518","57,671","133,871","23,976",
,Cities outside metropolitan areas,,"609,654",,,,,,,,,,
,,Area actually reporting,87.0%,"1,381",8,376,70,927,"15,020","2,244","12,359",417,
,,Estimated total,100.0%,"1,587",9,432,80,"1,066","17,268","2,580","14,209",479,
,Nonmetropolitan counties,,"1,204,586",,,,,,,,,,
,,Area actually reporting,89.8%,"2,131",18,682,56,"1,375","15,550","4,862","10,095",593,
,,Estimated total,100.0%,"2,372",20,759,62,"1,531","17,315","5,414","11,241",660,
,State Total, ,"9,883,360","44,922",689,"4,589","10,434","29,210","250,101","65,665","159,321","25,115",
,,"Rate per 100,000 inhabitants",,454.5,7.0,46.4,105.6,295.5,"2,530.5",664.4,"1,612.0",254.1,
MINNESOTA2,Metropolitan Statistical Area,,"4,129,414",,,,,,,,,,
,,Area actually reporting,100.0%,,84,,"3,360","5,716","113,606","20,487","85,803","7,316",
,Cities outside metropolitan areas,,"491,959",,,,,,,,,,
,,Area actually reporting,100.0%,,5,,95,996,"15,178","2,300","12,291",587,
,Nonmetropolitan counties,,"757,766",,,,,,,,,,
,,Area actually reporting,100.0%,,10,,20,495,"9,368","2,591","6,222",555,
,State Total,,"5,379,139","12,419",99,"1,638","3,475","7,207","138,152","25,378","104,316","8,458",
,,"Rate per 100,000 inhabitants",,230.9,1.8,30.5,64.6,134.0,"2,568.3",471.8,"1,939.3",157.2,
MISSISSIPPI,Metropolitan Statistical Area,,"1,346,110", ,,,,,,,,,
,,Area actually reporting,87.3%,"3,582",105,398,"1,374","1,705","39,268","11,667","25,114","2,487",
,,Estimated total,100.0%,"3,803",111,429,"1,421","1,842","42,480","12,719","27,092","2,669",
,Cities outside metropolitan areas,,"589,064",,,,,,,,,,
,,Area actually reporting,77.5%,"1,753",43,186,544,980,"20,580","6,820","13,051",709,
,,Estimated total,100.0%,"2,261",55,240,702,"1,264","26,539","8,795","16,830",914,
,Nonmetropolitan counties,,"1,049,752",,,,,,,,,,
,,Area actually reporting,54.1%,932,29,83,87,733,"8,058","3,552","4,106",400,
,,Estimated total,100.0%,"1,722",54,153,161,"1,354","14,887","6,562","7,586",739,
,State Total,,"2,984,926","7,786",220,822,"2,284","4,460","83,906","28,076","51,508","4,322",
,,"Rate per 100,000 inhabitants",,260.8,7.4,27.5,76.5,149.4,"2,811.0",940.6,"1,725.6",144.8,
MISSOURI,Metropolitan Statistical Area,,"4,459,490", ,,,,,,,,,
,,Area actually reporting,99.9%,"22,444",366,"1,236","5,480","15,362","158,787","32,998","111,426","14,363",
,,Estimated total,100.0%,"22,415",336,"1,236","5,480","15,363","158,804","33,001","111,439","14,364",
,Cities outside metropolitan areas,,"663,032",,,,,,,,,,
,,Area actually reporting,99.8%,"2,799",14,147,246,"2,392","26,657","4,628","21,053",976,
,,Estimated total,100.0%,"2,805",14,147,247,"2,397","26,718","4,639","21,101",978,
,Nonmetropolitan counties,,"899,466",,,,,,,,,,
,,Area actually reporting,100.0%,"1,935",39,128,55,"1,713","14,068","4,826","8,276",966,
,State Total,,"6,021,988","27,155",389,"1,511","5,782","19,473","199,590","42,466","140,816","16,308",
,,"Rate per 100,000 inhabitants",,450.9,6.5,25.1,96.0,323.4,"3,314.4",705.2,"2,338.4",270.8,
MONTANA,Metropolitan Statistical Area,,"355,392", ,,,,,,,,,
,,Area actually reporting,100.0%,971,3,100,133,735,"12,486","1,851","9,838",797,
,Cities outside metropolitan areas,,"203,868",,,,,,,,,,
,,Area actually reporting,97.5%,894,11,180,39,664,"7,149",935,"5,795",419,
,,Estimated total,100.0%,917,11,185,40,681,"7,335",959,"5,946",430,
,Nonmetropolitan counties,,"445,881",,,,,,,,,,
,,Area actually reporting,98.8%,838,13,93,18,714,"6,074","1,071","4,547",456,
,,Estimated total,100.0%,848,13,94,18,723,"6,149","1,084","4,603",462,
,State Total,,"1,005,141","2,736",27,379,191,"2,139","25,970","3,894","20,387","1,689",
,,"Rate per 100,000 inhabitants",,272.2,2.7,37.7,19.0,212.8,"2,583.7",387.4,"2,028.3",168.0,
NEBRASKA,Metropolitan Statistical Area,,"1,177,981",,,,,,,,,,
,,Area actually reporting,97.9%,"4,028",46,494,"1,077","2,411","38,248","6,483","28,160","3,605",
,,Estimated total,100.0%,"4,044",46,498,"1,078","2,422","38,569","6,551","28,391","3,627",
,Cities outside metropolitan areas,,"343,307",,,,,,,,,,
,,Area actually reporting,88.9%,532,3,157,40,332,"8,423","1,324","6,784",315,
,,Estimated total,100.0%,599,3,177,45,374,"9,477","1,490","7,633",354,
,Nonmetropolitan counties,,"334,237",,,,,,,,,,
,,Area actually reporting,81.4%,139,3,29,6,101,"2,501",565,"1,801",135,
,,Estimated total,100.0%,171,4,36,7,124,"3,072",694,"2,212",166,
,State Total,,"1,855,525","4,814",53,711,"1,130","2,920","51,118","8,735","38,236","4,147",
,,"Rate per 100,000 inhabitants",,259.4,2.9,38.3,60.9,157.4,"2,754.9",470.8,"2,060.7",223.5,
NEVADA,Metropolitan Statistical Area,,"2,487,122",,,,,,,,,,
,,Area actually reporting,100.0%,"15,754",107,824,"4,852","9,971","71,770","20,521","41,708","9,541",
,Cities outside metropolitan areas,,"46,956",,,,,,,,,,
,,Area actually reporting,100.0%,305,12,39,19,235,"1,815",469,"1,187",159,
,Nonmetropolitan counties,,"224,853",,,,,,,,,,
,,Area actually reporting,100.0%,704,5,68,47,584,"3,925","1,130","2,477",318,
,State Total,,"2,758,931","16,763",124,931,"4,918","10,790","77,510","22,120","45,372","10,018",
,,"Rate per 100,000 inhabitants",,607.6,4.5,33.7,178.3,391.1,"2,809.4",801.8,"1,644.6",363.1,
NEW HAMPSHIRE,Metropolitan Statistical Area,,"823,334",,,,,,,,,,
,,Area actually reporting,94.6%,"1,571",10,265,360,936,"17,792","3,033","14,131",628,
,,Estimated total,100.0%,"1,610",10,274,365,961,"18,391","3,126","14,617",648,
,Cities outside metropolitan areas,,"444,509",,,,,,,,,,
,,Area actually reporting,87.6%,675,4,143,94,434,"9,999","1,763","7,954",282,
,,Estimated total,100.0%,770,5,163,107,495,"11,416","2,013","9,081",322,
,Nonmetropolitan counties,,"52,875",,,,,,,,,,
,,Area actually reporting,4.4%,20,0,2,0,18,102,36,62,4,
,,Estimated total,100.0%,101,0,12,0,89,886,305,528,53,
,State Total,,"1,320,718","2,481",15,449,472,"1,545","30,693","5,444","24,226","1,023",
,,"Rate per 100,000 inhabitants",,187.9,1.1,34.0,35.7,117.0,"2,324.0",412.2,"1,834.3",77.5,
NEW JERSEY,Metropolitan Statistical Area,,"8,864,590",,,,,,,,,,
,,Area actually reporting,99.9%,"25,707",388,"1,034","11,377","12,908","181,293","42,296","122,529","16,468",
,,Estimated total,100.0%,"25,727",388,"1,035","11,385","12,919","181,481","42,338","122,662","16,481",
,Cities outside metropolitan areas,,None,,,,,,,,,,
,Nonmetropolitan counties,,None,,,,,,,,,,
,State Total,,"8,864,590","25,727",388,"1,035","11,385","12,919","181,481","42,338","122,662","16,481",
,,"Rate per 100,000 inhabitants",,290.2,4.4,11.7,128.4,145.7,"2,047.3",477.6,"1,383.7",185.9,
NEW MEXICO,Metropolitan Statistical Area,,"1,388,294", ,,,,, ,,,,
,,Area actually reporting,99.3%,"7,858",72,621,"1,507","5,658","52,207","14,091","33,866","4,250",
,,Estimated total,100.0%,"7,906",72,625,"1,511","5,698","52,507","14,161","34,072","4,274",
,Cities outside metropolitan areas,,"397,656",,,,,,,,,,
,,Area actually reporting,99.0%,"2,941",36,265,282,"2,358","17,422","4,810","11,835",777,
,,Estimated total,100.0%,"2,970",36,268,285,"2,381","17,589","4,856","11,949",784,
,Nonmetropolitan counties,,"299,588",,,,,,,,,,
,,Area actually reporting,84.0%,659,7,54,43,555,"4,197","1,988","1,869",340,
,,Estimated total,100.0%,784,8,64,51,661,"4,998","2,367","2,226",405,
,State Total,,"2,085,538","11,660",116,957,"1,847","8,740","75,094","21,384","48,247","5,463",
,,"Rate per 100,000 inhabitants",,559.1,5.6,45.9,88.6,419.1,"3,600.7","1,025.3","2,313.4",261.9,
NEW YORK3,Metropolitan Statistical Area,,"18,146,686",,,,,,,,,,
,,Area actually reporting,99.2%,"77,229",666,"2,518","28,297","45,748","344,885","57,785","270,535","16,565",
,,Estimated total,100.0%,"77,445",668,"2,533","28,361","45,883","347,280","58,219","272,403","16,658",
,Cities outside metropolitan areas,,"528,831",,,,,,,,,,
,,Area actually reporting,97.5%,"1,194",4,144,215,831,"15,505","2,910","12,298",297,
,,Estimated total,100.0%,"1,224",4,148,220,852,"15,894","2,983","12,607",304,
,Nonmetropolitan counties,,"894,744",,,,,,,,,,
,,Area actually reporting,100.0%,941,12,167,74,688,"12,966","3,351","9,229",386,
,State Total,,"19,570,261","79,610",684,"2,848","28,655","47,423","376,140","64,553","294,239","17,348",
,,"Rate per 100,000 inhabitants",,406.8,3.5,14.6,146.4,242.3,"1,922.0",329.9,"1,503.5",88.6,
